ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,id
16000001,1,"",827
5493244,11 to 25,Non Profit,3009
16000001,2 to 5,"",287
7690842,6 to 10,LEISURE_TRAVEL_TOURISM,4778
16000001,1,"",2393
19900,11 to 25,"",1115
10526362,1001 to 10000,Manufacturing,5054
16000001,"","",660
16000001,"","",3978
16000001,6 to 10,COMPUTER_SOFTWARE,3589
1117953,6 to 10,"",3911
16000001,11 to 25,"",2187
4423622,26 to 50,Manufacturing,2824
7390858,26 to 50,"",3566
5414370,51 to 200,MARKETING_AND_ADVERTISING,615
16000001,1,"",3264
16000001,"","",4064
8649858,11 to 25,COMPUTER_SOFTWARE,1029
16000001,"","",2485
16000001,"","",4123
16000001,1,"",2373
16000001,"","",1980
16000001,2 to 5,"",1389
16000001,11 to 25,"",1506
47042,1001 to 10000,HIGHER_EDUCATION,3643
,1001 to 10000,COMPUTER_SOFTWARE,3074
16000001,201 to 1000,"",4240
4902529,26 to 50,"",1397
16000001,2 to 5,"",3283
16000001,1001 to 10000,COMPUTER_SOFTWARE,4432
16000001,"","",3966
2765355,51 to 200,RETAIL,3662
16000001,26 to 50,"",2842
2263718,26 to 50,Marketing Services,3733
,"","",4412
8316345,6 to 10,ACCOUNTING,3035
16000001,2 to 5,"",3167
10667706,6 to 10,"",2825
16000001,6 to 10,"",585
50019,11 to 25,Non-Profit,1977
461842,26 to 50,COMPUTER_SOFTWARE,3660
16000001,"","",1972
16000001,"","",4524
1839476,51 to 200,"",4728
3732074,6 to 10,"",4641
16000001,26 to 50,"",4570
16000001,"","",3915
16000001,"","",4061
16000001,1,"",5069
16000001,11 to 25,"",4944
16000001,11 to 25,"",2207
16000001,51 to 200,Technology - Software,4151
16000001,2 to 5,"",3121
16000001,6 to 10,"",2077
16000001,1,"",1547
16000001,1,"",3238
16000001,2 to 5,REAL_ESTATE,4861
16000001,"","",4444
16000001,26 to 50,"",3180
16000001,1,"",4033
16000001,1,MANAGEMENT_CONSULTING,665
16000001,26 to 50,"",854
16000001,"","",3300
796400,6 to 10,CONSUMER_GOODS,2054
16000001,51 to 200,AIRLINES_AVIATION,302
1475227,201 to 1000,RESTAURANTS,1798
110542,1001 to 10000,LEISURE_TRAVEL_TOURISM,973
16000001,"","",3330
2623758,26 to 50,Other,2620
16000001,11 to 25,"",3958
16000001,6 to 10,"",3212
466190,1001 to 10000,Manufacturing,952
16000001,2 to 5,"",4769
16000001,2 to 5,"",552
16000001,11 to 25,CONSTRUCTION,3008
16000001,2 to 5,"",4118
1589078,6 to 10,"",3075
16000001,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES,1077
16000001,"","",1458
16000001,26 to 50,"",3858
795908,201 to 1000,"",916
16000001,6 to 10,CIVIL_ENGINEERING,3371
16000001,2 to 5,"",2379
215229,201 to 1000,"",4529
16000001,6 to 10,"",3736
16000001,6 to 10,"",652
16000001,51 to 200,WHOLESALE,2548
16000001,6 to 10,"",2670
16000001,26 to 50,"",3025
3785,"10,001 or more",Other,1551
16000001,"","",1520
5157753,"","",454
16000001,26 to 50,"",3427
16000001,6 to 10,RESTAURANTS,4525
2679207,6 to 10,"",3151
2363405,11 to 25,"",334
16000001,2 to 5,"",2744
16000001,6 to 10,COMPUTER_SOFTWARE,1808
7482707,6 to 10,"",2258
16000001,1,"",3102
16000001,26 to 50,Agriculture,4602
16000001,6 to 10,"",2781
16000001,"","",2708
2142188,26 to 50,Marketing Services,2910
16000001,6 to 10,"",4312
54467,1001 to 10000,Non-Profit/Educational Institution,5183
16000001,26 to 50,"",4155
16000001,6 to 10,"",1849
16000001,"","",1252
16000001,"","",1673
16000001,"","",779
16000001,26 to 50,"",4683
16000001,1,"",2696
16000001,"","",3849
16000001,2 to 5,"",4591
7962617,11 to 25,COMPUTER_SOFTWARE,3632
16000001,1,"",776
817667,6 to 10,"",2534
6954982,2 to 5,"",5097
16000001,11 to 25,"",2591
16000001,2 to 5,"",747
462329,11 to 25,"Government, Public Admin",3387
16000001,26 to 50,"",2683
16000001,2 to 5,"",4974
16000001,51 to 200,"",2989
16000001,11 to 25,"",3194
16000001,51 to 200,ENVIRONMENTAL_SERVICES,4273
16000001,"","",3369
16000001,6 to 10,"",559
1922559,51 to 200,COMPUTER_SOFTWARE,4853
6122014,51 to 200,"",2911
16000001,51 to 200,"",2281
16000001,2 to 5,"",3886
16000001,2 to 5,"",1892
16000001,"","",726
16000001,"",FINANCIAL_SERVICES,3181
931397,51 to 200,"",4047
16000001,"","",4986
16000001,"","",3265
87806,201 to 1000,"",844
16000001,6 to 10,"",5045
35032,"","",3409
16000001,2 to 5,"",3796
16000001,1,"",2447
16000001,26 to 50,"",1087
10479,11 to 25,"",4703
2547322,6 to 10,"",1943
16000001,6 to 10,"",698
804704,6 to 10,"",2779
4639498,6 to 10,"",3317
30684,1001 to 10000,Non-Profit/Educational Institution,2891
2495859,201 to 1000,"",4926
2886469,6 to 10,COMMERCIAL_REAL_ESTATE,4933
16000001,2 to 5,"",3073
16000001,51 to 200,COMPUTER_SOFTWARE,3720
496787,51 to 200,HIGHER_EDUCATION,2351
16000001,1,"",425
2148177,1,"",1882
790136,11 to 25,RESTAURANTS,3213
16000001,2 to 5,"",1173
16000001,2 to 5,"",3748
694830,51 to 200,Other,3367
16000001,26 to 50,"",3291
16000001,1,"",678
16000001,6 to 10,"",2980
16000001,6 to 10,"",382
16000001,2 to 5,"",627
16000001,2 to 5,"",2385
16000001,"","",1123
16000001,6 to 10,"",1561
1484985,2 to 5,"",4346
4035608,26 to 50,CHEMICALS,4234
16000001,2 to 5,"",1128
16000001,6 to 10,"",2902
16000001,"","",2238
16000001,1,"",3582
64639,201 to 1000,RETAIL,4651
6697295,2 to 5,"",4334
16000001,"","",4116
3668655,51 to 200,COMPUTER_SOFTWARE,4875
16000001,51 to 200,MARKET_RESEARCH,1612
16000001,26 to 50,BUILDING_MATERIALS,824
1039248,201 to 1000,Consulting/Advisory,387
25138,201 to 1000,PUBLISHING,2652
4104824,6 to 10,MANAGEMENT_CONSULTING,3206
16000001,26 to 50,FINANCIAL_SERVICES,2992
5376413,6 to 10,COMPUTER_SOFTWARE,3607
4639498,6 to 10,"",3316
16000001,2 to 5,"",963
16000001,"","",1999
16000001,"","",1367
16000001,26 to 50,"",4029
16000001,2 to 5,"",5029
16000001,51 to 200,"",3533
16000001,"","",1814
16000001,6 to 10,"",2622
16000001,1001 to 10000,INFORMATION_TECHNOLOGY_AND_SERVICES,224
81706,1001 to 10000,Manufacturing,3929
16000001,2 to 5,"",2412
16000001,"","",3921
10487985,"","",767
16000001,51 to 200,"",4598
16000001,1,"",4402
16000001,"","",3267
16000001,26 to 50,"",1000
16000001,1,"",3173
6130,6 to 10,COMPUTER_SOFTWARE,857
242725,26 to 50,NON_PROFIT_ORGANIZATION_MANAGEMENT,892
16000001,201 to 1000,CONSUMER_GOODS,3441
16000001,26 to 50,"",4146
7448920,2 to 5,LEISURE_TRAVEL_TOURISM,4510
7334520,51 to 200,"",754
16000001,"","",2298
16000001,1,"",618
16000001,6 to 10,"",3276
560,1001 to 10000,COMPUTER_SOFTWARE,3042
16000001,26 to 50,"",1779
558379,26 to 50,"",355
16000001,2 to 5,"",874
3194577,201 to 1000,Consulting/Advisory,3887
16000001,2 to 5,"",2127
16000001,6 to 10,"",1603
16000001,6 to 10,"",1017
583020,6 to 10,"",1993
16000001,2 to 5,"",957
14,1001 to 10000,COMPUTER_SOFTWARE,1355
16000001,"","",4708
2802961,2 to 5,RENEWABLES_ENVIRONMENT,5065
173639,201 to 1000,HIGHER_EDUCATION,4148
16000001,"","",938
71914,26 to 50,HIGHER_EDUCATION,3434
16000001,201 to 1000,"",3580
136881,6 to 10,"",3026
16000001,2 to 5,"",4562
5073802,6 to 10,SPORTS,2648
16000001,2 to 5,"",3670
69861,51 to 200,RETAIL,3950
16000001,26 to 50,"",1714
3947951,26 to 50,"",3198
16000001,2 to 5,"",2579
16000001,1,HUMAN_RESOURCES,4214
16000001,2 to 5,"",2846
2118,201 to 1000,REAL_ESTATE,2296
16000001,"","",2374
16000001,2 to 5,"",337
16000001,6 to 10,"",584
16000001,"","",1703
16000001,6 to 10,"",3867
1356896,26 to 50,CONSUMER_SERVICES,2293
16000001,1001 to 10000,Non-Profit/Educational Institution,2960
16000001,1,"",2079
16000001,2 to 5,"",3147
907211,6 to 10,COMPUTER_SOFTWARE,3895
16000001,1,"",1724
16000001,26 to 50,"",990
3069113,6 to 10,"",3145
16000001,"","",2568
16000001,2 to 5,"",2264
16000001,2 to 5,"",4623
16000001,201 to 1000,"",380
16000001,2 to 5,"",2550
16000001,51 to 200,"",4448
16000001,"","",431
16000001,2 to 5,"",4495
16000001,6 to 10,"",1503
16000001,26 to 50,"",4304
1118502,11 to 25,"",4133
903174,11 to 25,COMPUTER_SOFTWARE,5090
16000001,1,"",2616
363530,6 to 10,"",2104
16000001,6 to 10,"",4076
16000001,26 to 50,"",289
16000001,1001 to 10000,"",666
16000001,2 to 5,"",4469
16000001,11 to 25,STAFFING_AND_RECRUITING,1672
16000001,"","",4119
16000001,26 to 50,"",490
686397,26 to 50,FINANCIAL_SERVICES,4406
70461,201 to 1000,"",2776
1317942,51 to 200,"",1745
45348,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES,1593
450194,11 to 25,"",1395
5466629,"","",1543
16000001,6 to 10,"",2404
16000001,"","",1832
16000001,"","",1094
3543848,51 to 200,Other,1237
16000001,6 to 10,HOSPITAL_HEALTH_CARE,4836
16000001,6 to 10,"",659
16000001,6 to 10,"",4638
16000001,6 to 10,ustedes,1791
1171658,6 to 10,BROADCAST_MEDIA,1732
16000001,"","",2971
16000001,"","",1855
16000001,6 to 10,"",4527
16000001,"","",4636
16000001,2 to 5,"",5102
16000001,6 to 10,"",3590
433988,201 to 1000,"",3808
187951,51 to 200,REAL_ESTATE,215
16000001,2 to 5,"",2165
34300,1001 to 10000,Non-Profit/Educational Institution,5175
16000001,11 to 25,"",1956
16000001,2 to 5,"",5160
16000001,26 to 50,"",4235
1730651,51 to 200,NON_PROFIT_ORGANIZATION_MANAGEMENT,922
1087276,201 to 1000,EDUCATION_MANAGEMENT,4697
5224703,"","",2529
,"10,001 or more",COMPUTER_SOFTWARE,1049
16000001,26 to 50,"",326
16000001,"10,001 or more","",2405
16000001,26 to 50,PRINTING,2877
39592,201 to 1000,RETAIL,223
162103,51 to 200,HIGHER_EDUCATION,1826
16000001,51 to 200,"",1669
16000001,2 to 5,"",1214
5042235,26 to 50,"",693
16000001,6 to 10,"",3106
16000001,"","",4807
16000001,1,"",4688
16000001,201 to 1000,"",2868
4319652,1001 to 10000,"",4534
16000001,26 to 50,"",1575
193458,201 to 1000,Technology - Software,3033
16000001,2 to 5,"",3425
16000001,6 to 10,EVENTS_SERVICES,320
16000001,11 to 25,MARKETING_AND_ADVERTISING,2472
16000001,6 to 10,"",2920
7894631,2 to 5,"",4478
16000001,26 to 50,"",1576
16000001,6 to 10,"",5159
16000001,2 to 5,"",3292
16000001,"","",4428
16000001,201 to 1000,"",4492
16000001,2 to 5,"",2630
30684,1001 to 10000,Non-Profit/Educational Institution,2890
2570141,6 to 10,EVENTS_SERVICES,3998
1110067,26 to 50,"",518
9849905,"","",4650
16000001,1,"",3205
16000001,6 to 10,"",591
16000001,"","",2129
16000001,11 to 25,"",4327
3773039,51 to 200,"",2143
16000001,"","",503
16000001,2 to 5,"",3885
16000001,"","",2135
16000001,6 to 10,"",225
387438,11 to 25,AUTOMOTIVE,5082
16000001,2 to 5,"",4998
1477182,201 to 1000,Other,2636
16000001,2 to 5,"",4303
16000001,"","",2513
16000001,"","",3737
7739646,2 to 5,"",4865
58796,1001 to 10000,CONSUMER_SERVICES,280
,1001 to 10000,"",280
6429136,51 to 200,HIGHER_EDUCATION,4165
58796,1001 to 10000,CONSUMER_SERVICES,278
,1001 to 10000,"",278
7539540,2 to 5,"",4128
16000001,6 to 10,MARKETING_AND_ADVERTISING,3931
16000001,6 to 10,"",2644
840627,51 to 200,COMPUTER_SOFTWARE,3843
16000001,"","",3663
16000001,2 to 5,"",378
16000001,2 to 5,"",2939
462673,6 to 10,COMPUTER_SOFTWARE,4332
16000001,11 to 25,"",4355
,1,"",4310
86837,201 to 1000,HIGHER_EDUCATION,277
16000001,"","",1139
16000001,2 to 5,"",4348
16000001,201 to 1000,HUMAN_RESOURCES,3399
16000001,6 to 10,E_LEARNING,286
16000001,1,"",2280
16000001,"","",3087
7283027,201 to 1000,"",2988
577368,1001 to 10000,Manufacturing,1256
1236492,201 to 1000,Finance and Insurance,523
8799134,26 to 50,"",5189
512970,26 to 50,"",2233
16000001,1,"",561
16000001,"","",3765
4388,2 to 5,"",1665
16000001,"","",4793
,6 to 10,"",1042
16000001,6 to 10,"",1494
3044909,11 to 25,HIGHER_EDUCATION,1153
16000001,"","",3545
431252,1001 to 10000,ELECTRICAL_ELECTRONIC_MANUFACTURING,2384
16000001,2 to 5,"",3157
2044743,6 to 10,Consumer Products,1473
16000001,2 to 5,"",801
16000001,"","",3468
16000001,201 to 1000,FINANCIAL_SERVICES,2619
16000001,1,"",608
16000001,1,"",2022
558379,26 to 50,"",354
16000001,"","",4294
16000001,2 to 5,"",685
2192659,6 to 10,RETAIL,1188
16000001,6 to 10,"",664
,1001 to 10000,COMPUTER_SOFTWARE,5152
334332,2 to 5,"",2870
16000001,6 to 10,"",4383
16000001,2 to 5,"",2720
16000001,6 to 10,MACHINERY,4228
16000001,6 to 10,BUILDING_MATERIALS,3591
16000001,"","",348
586935,6 to 10,FINANCIAL_SERVICES,3436
16000001,26 to 50,"",4550
16000001,"","",3840
93546,1001 to 10000,Non-Profit/Educational Institution,4965
8075967,11 to 25,COMPUTER_SOFTWARE,733
3230208,6 to 10,"",791
16000001,11 to 25,"",1777
14550,1001 to 10000,Business Services - General,671
16000001,"","",4223
1293614,6 to 10,"",3637
16000001,1,"",1361
4909595,"",GAMBLING_CASINOS,2687
16000001,6 to 10,FARMING,1657
16000001,2 to 5,"",3204
1837754,1001 to 10000,"",2599
16000001,51 to 200,"",2730
16000001,26 to 50,AUTOMOTIVE,4407
10041129,26 to 50,INFORMATION_TECHNOLOGY_AND_SERVICES,3636
16000001,2 to 5,"",2637
16000001,2 to 5,"",5129
16000001,6 to 10,COMPUTER_SOFTWARE,3277
15184,6 to 10,"",1208
16000001,"","",1406
16000001,1,"",3675
16000001,51 to 200,"",2142
16000001,6 to 10,REAL_ESTATE,3345
16000001,6 to 10,"",3992
16000001,2 to 5,"",3320
8408214,6 to 10,COMPUTER_SOFTWARE,4993
1838428,201 to 1000,Other,2323
16000001,26 to 50,RETAIL,3512
123977,201 to 1000,REAL_ESTATE,1401
16000001,6 to 10,"",3227
16000001,"","",1447
16000001,2 to 5,"",3428
16000001,11 to 25,"",3188
16000001,2 to 5,"",4619
781574,1001 to 10000,LOGISTICS_AND_SUPPLY_CHAIN,4083
4858974,11 to 25,"",5008
16000001,51 to 200,"",4376
,"","",982
16000001,2 to 5,"",4691
16000001,2 to 5,"",305
813619,6 to 10,Coaching/Business Services,1226
16000001,"","",554
16000001,51 to 200,"",1431
16000001,2 to 5,"",1043
16000001,2 to 5,"",4682
16000001,1,"",3609
16000001,"","",2673
790235,1001 to 10000,Recruiting/Staffing,853
16000001,2 to 5,"",318
9014999,2 to 5,"",533
16000001,2 to 5,"",356
16000001,2 to 5,"",2839
16000001,2 to 5,"",4806
16000001,6 to 10,"",4532
16000001,2 to 5,"",2430
16000001,"","",1317
16000001,"","",2087
16000001,6 to 10,COMPUTER_SOFTWARE,2925
24678,51 to 200,"",4121
16000001,2 to 5,"",1143
16000001,1,"",1960
2328461,11 to 25,"",4543
16000001,6 to 10,"",3914
16000001,2 to 5,"",3850
16000001,"","",4649
16000001,6 to 10,COMPUTER_SOFTWARE,4251
16000001,11 to 25,"",4851
1879738,26 to 50,"",4587
578396,51 to 200,MARKETING_AND_ADVERTISING,3046
16000001,51 to 200,"",2437
4139066,51 to 200,LEISURE_TRAVEL_TOURISM,2625
16000001,11 to 25,"",4971
16000001,6 to 10,MARKETING_AND_ADVERTISING,4079
332852,51 to 200,LEISURE_TRAVEL_TOURISM,3483
6065174,6 to 10,"",2322
16000001,26 to 50,Technology - Software,2875
16000001,6 to 10,"",311
16000001,"","",4679
16000001,1,"",1778
16000001,2 to 5,"",2202
16000001,11 to 25,"",3647
7720112,6 to 10,"",4256
16000001,51 to 200,COMPUTER_SOFTWARE,5043
16000001,6 to 10,"",1935
16000001,"","",4476
16000001,11 to 25,"",4595
16000001,1,"",3393
3820576,6 to 10,"",207
80032,26 to 50,"",914
16000001,2 to 5,"",2360
16000001,26 to 50,CONSTRUCTION,3705
16000001,"","",2496
16000001,"","",4499
882,"10,001 or more",Finance & Insurance,1755
16000001,2 to 5,"",4005
16000001,2 to 5,"",2784
4687609,6 to 10,DESIGN,3923
16000001,6 to 10,"",1591
16000001,2 to 5,"",1621
16000001,1,"",670
16000001,1,"",4706
16000001,6 to 10,"",368
16000001,"","",2111
1098533,6 to 10,"",5168
42255,1001 to 10000,Non-Profit/Educational Institution,4574
16000001,51 to 200,"",5027
4480,1001 to 10000,Non-Profit/Educational Institution,5050
275599,201 to 1000,JUDICIARY,3657
5561229,6 to 10,COMPUTER_SOFTWARE,1086
16000001,6 to 10,"",393
16000001,"","",4780
2118,201 to 1000,REAL_ESTATE,2297
1170627,6 to 10,"",1070
9493029,2 to 5,"",2117
3342941,11 to 25,"",4431
16000001,2 to 5,"",3209
16000001,1,"",3801
16000001,6 to 10,"",931
3970239,26 to 50,REAL_ESTATE,5140
8384449,6 to 10,"",895
16000001,1,"",3099
16000001,6 to 10,"",1124
39899,51 to 200,COMPUTER_SOFTWARE,1856
16000001,2 to 5,"",1178
16000001,6 to 10,"",2074
2362318,26 to 50,"",4596
16000001,6 to 10,NON_PROFIT_ORGANIZATION_MANAGEMENT,1770
16000001,2 to 5,"",2363
10479,11 to 25,"",4704
16000001,2 to 5,"",3378
16000001,2 to 5,"",1759
119911,51 to 200,HIGHER_EDUCATION,424
16000001,11 to 25,Marketing Services,3069
16000001,51 to 200,IMPORT_AND_EXPORT,841
16000001,2 to 5,"",1949
16000001,26 to 50,"",915
4610781,2 to 5,"",4715
585810,6 to 10,MEDIA_PRODUCTION,1059
16000001,"","",701
16000001,6 to 10,CONSUMER_ELECTRONICS,1857
16000001,11 to 25,"",1428
118321,1001 to 10000,Non-Profit/Educational Institution,1267
16000001,1,"",3689
796890,2 to 5,"",3322
16000001,1,"",2266
16000001,"","",1338
16000001,26 to 50,Technology - Software,3601
16000001,2 to 5,"",794
488273,1,"",2025
3030996,26 to 50,"",1789
16000001,1,"",1827
16000001,51 to 200,"",4648
16000001,2 to 5,Tiendas,1021
816536,26 to 50,MANAGEMENT_CONSULTING,1681
16000001,1,"",3309
16000001,11 to 25,"",3944
16000001,1,"",4824
419266,201 to 1000,MARKETING_AND_ADVERTISING,961
16000001,2 to 5,"",1095
16000001,2 to 5,"",4221
16000001,1,"",4457
143833,201 to 1000,Education,752
4818219,2 to 5,"",2334
16000001,51 to 200,IMPORT_AND_EXPORT,840
,51 to 200,Marketing Services,1874
6062036,2 to 5,eCommerce,1019
16000001,1,"",684
21340,51 to 200,INFORMATION_TECHNOLOGY_AND_SERVICES,2456
3803071,26 to 50,INFORMATION_TECHNOLOGY_AND_SERVICES,3419
1286558,26 to 50,FOOD_BEVERAGES,636
16000001,1001 to 10000,Non-Profit/Educational Institution,1498
16000001,2 to 5,"",2818
16000001,6 to 10,"",433
16000001,6 to 10,"",536
16000001,"","",3831
5942088,6 to 10,COMPUTER_SOFTWARE,4990
16000001,"","",1850
16000001,6 to 10,"",1658
9781200,51 to 200,"",1690
16000001,6 to 10,"",846
2003967,51 to 200,Consulting/Advisory,464
16000001,6 to 10,"",3402
63931,1001 to 10000,Marketing Services,2246
16000001,2 to 5,"",3068
16000001,2 to 5,"",4286
10552,1001 to 10000,CONSUMER_SERVICES,3482
91399,1001 to 10000,"",2257
16000001,1,"",602
16000001,2 to 5,"",3602
16000001,51 to 200,"",2618
14107,1001 to 10000,HIGHER_EDUCATION,2759
6794576,26 to 50,"",4518
16000001,"","",3762
16000001,26 to 50,"",4889
,1001 to 10000,COMPUTER_SOFTWARE,1637
16000001,1,"",4182
1696212,11 to 25,MARITIME,3397
16000001,1,"",918
2315755,6 to 10,"",2184
59628,1001 to 10000,Non Profit/EDU/.gov,4323
16000001,2 to 5,"",3370
16000001,1,"",2242
16000001,2 to 5,"",402
108,1001 to 10000,COMPUTER_SOFTWARE,1795
7913657,26 to 50,"",2287
16000001,"","",2090
16000001,2 to 5,"",3458
16000001,1,"",3525
16000001,51 to 200,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,4434
149946,51 to 200,Consumer Products,2855
16000001,6 to 10,"",1794
,1001 to 10000,"",4284
163339,1001 to 10000,CONSUMER_SERVICES,4575
6634265,26 to 50,"",2685
2703066,"","",3391
16000001,2 to 5,"",531
3058953,51 to 200,ARCHITECTURE_PLANNING,1671
3028274,1001 to 10000,"",2571
138261,1001 to 10000,Non-Profit/Educational Institution,2093
,1001 to 10000,"",4279
,1001 to 10000,"",4281
16000001,6 to 10,"",3245
51305,201 to 1000,BANKING,2315
16000001,1,"",1727
4910,51 to 200,"",1660
476222,26 to 50,"",1198
16000001,6 to 10,"",2752
9345709,51 to 200,Technology - Software,1257
16000001,"","",1009
2591720,201 to 1000,INFORMATION_TECHNOLOGY_AND_SERVICES,4710
16000001,51 to 200,BUILDING_MATERIALS,662
16000001,"","",1625
16000001,2 to 5,"",2934
3403814,6 to 10,"",3936
16000001,1,"",1670
16000001,"","",3898
16000001,1001 to 10000,"",3349
16000001,1,"",2940
2888731,26 to 50,"",680
16000001,1,"",4934
16000001,"","",4453
16000001,2 to 5,"",1563
16000001,11 to 25,BUILDING_MATERIALS,1082
16000001,2 to 5,"",1680
137472,201 to 1000,CONSUMER_SERVICES,2646
16000001,2 to 5,"",4601
370610,1001 to 10000,Consulting/Advisory,592
16000001,6 to 10,"",606
16000001,2 to 5,"",288
174628,26 to 50,SPORTING_GOODS,2011
16000001,2 to 5,"",2441
4844,11 to 25,"",5119
16000001,2 to 5,"",4617
1775020,1001 to 10000,HOSPITAL_HEALTH_CARE,3260
16000001,2 to 5,"",1677
16000001,2 to 5,"",1900
1017035,201 to 1000,INFORMATION_TECHNOLOGY_AND_SERVICES,3136
4393,201 to 1000,COMPUTER_SOFTWARE,888
4136750,26 to 50,MARKETING_AND_ADVERTISING,1223
76392,201 to 1000,"",1189
,1001 to 10000,"",4285
16000001,2 to 5,"",3130
1206560,26 to 50,"",1371
16000001,26 to 50,"",3688
16000001,6 to 10,COMPUTER_SOFTWARE,2832
8478693,"","",1913
16000001,6 to 10,"",1342
16000001,6 to 10,"",474
2354504,2 to 5,"",3124
16000001,1,"",407
6188074,2 to 5,"",2388
16000001,1,"",3100
16000001,201 to 1000,REAL_ESTATE,2743
16000001,1,"",4001
16000001,11 to 25,"",4162
16000001,2 to 5,"",1205
16000001,1,"",4161
5385728,6 to 10,Marketing Services,1624
16000001,26 to 50,"",4299
16000001,2 to 5,"",2473
16000001,2 to 5,"",3767
4522354,2 to 5,"",5061
16000001,6 to 10,"",3980
779363,2 to 5,RETAIL,2675
6056666,6 to 10,"",4449
2024586,6 to 10,"",3461
16000001,6 to 10,ARCHITECTURE_PLANNING,3452
16000001,2 to 5,"",1938
16000001,"","",5087
16000001,6 to 10,"",4198
5872195,6 to 10,"",2028
16000001,1,"",3364
531970,11 to 25,APPAREL_FASHION,1131
16000001,2 to 5,"",3014
16000001,"","",3599
13,"10,001 or more",Other,1387
6811983,1,"",4184
228922,201 to 1000,Other,3005
251,51 to 200,Business Services - General,2896
16000001,201 to 1000,"",907
327211,201 to 1000,PRIMARY_SECONDARY_EDUCATION,4239
168347,201 to 1000,MARKETING_AND_ADVERTISING,340
16000001,6 to 10,"",4330
,1001 to 10000,"",4283
,1001 to 10000,"",4278
,1001 to 10000,"",4280
1259045,6 to 10,"",4830
16000001,6 to 10,"",3011
16000001,1,"",375
16000001,11 to 25,"",1111
16000001,11 to 25,"",4896
7548935,11 to 25,"",3628
6608513,26 to 50,"",294
16000001,"","",972
16000001,1001 to 10000,Other,4719
16000001,2 to 5,"",3159
16000001,2 to 5,"",2431
16000001,"","",1567
4405827,201 to 1000,ENVIRONMENTAL_SERVICES,4120
16000001,6 to 10,"",1495
16000001,1,"",796
108906,26 to 50,"",3672
